		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000  259  238  245  264  256  254  225  229  6.302577 0.613379 SUCCESS  76
100101000  255  271  240  260  245  247  264  260  7.480372 0.485798 SUCCESS  77
100110000  254  221  248  243  254  220  252  235  6.242205 0.620122 SUCCESS  78
100111000  239  247  228  238  240  256  223  250  4.113278 0.846761 SUCCESS  79
101000000  261  218  219  268  264  239  244  258 11.788007 0.160916 SUCCESS  80
101000100  233  230  212  208  221  271  216  262 21.301451 0.006388 FAILURE  81
101001000  229  253  229  244  221  264  244  239  6.322701 0.611133 SUCCESS  82
101001100  236  227  233  229  253  243  260  275  8.461161 0.389766 SUCCESS  83
101010000  243  256  223  269  249  233  240  212 10.184427 0.252320 SUCCESS  84
101010100  236  242  276  225  244  223  230  255  9.390051 0.310467 SUCCESS  85
101011000  251  230  244  251  260  213  255  260  7.986654 0.434775 SUCCESS  86
101011100  223  245  279  242  253  237  240  218 10.578437 0.226748 SUCCESS  87
101100000  265  234  238  242  257  222  227  239  6.588553 0.581603 SUCCESS  88
101100100  227  248  233  231  258  242  239  217  6.623505 0.577743 SUCCESS  89
101101000  238  264  215  247  212  239  258  267 12.977452 0.112628 SUCCESS  90
101101100  211  246  260  228  266  253  236  246  9.488554 0.302771 SUCCESS  91
101110000  246  288  250  243  252  235  250  217 12.201082 0.142455 SUCCESS  92
101110100  239  207  248  225  225  245  237  241  9.373104 0.311805 SUCCESS  93
101111000  250  255  241  239  257  242  257  233  2.748011 0.949163 SUCCESS  94
101111100  238  246  274  229  245  242  244  237  5.161854 0.740145 SUCCESS  95
110000000  255  269  269  230  233  236  244  256  7.990891 0.434360 SUCCESS  96
110000010  216  238  236  227  241  212  248  259 10.447100 0.235036 SUCCESS  97
110000100  253  276  227  224  237  232  268  240 10.921607 0.206181 SUCCESS  98
110001000  221  246  274  251  257  247  267  225 10.765910 0.215319 SUCCESS  99
110001010  235  263  280  266  266  269  265  251 16.037387 0.041848 SUCCESS 100
110010000  267  239  211  247  283  242  249  247 13.569527 0.093699 SUCCESS 101
110010010  228  257  267  251  234  235  252  234  5.705207 0.680214 SUCCESS 102
110010100  238  249  246  245  249  244  261  262  2.938661 0.938148 SUCCESS 103
110011000  257  229  246  252  235  252  240  236  2.916418 0.939493 SUCCESS 104
110011010  263  228  280  247  230  262  242  270 13.153274 0.106684 SUCCESS 105
110100000  238  237  236  245  254  239  252  259  2.381539 0.967026 SUCCESS 106
110100010  240  245  224  231  219  265  226  253  8.767260 0.362309 SUCCESS 107
110100100  238  253  231  235  232  247  222  269  6.928545 0.544361 SUCCESS 108
110101000  254  212  247  267  268  229  230  220 13.732639 0.089006 SUCCESS 109
110101010  231  237  278  217  242  243  237  258  9.978948 0.266507 SUCCESS 110
110101100  258  218  256  261  246  206  243  263 13.198818 0.105190 SUCCESS 111
110110000  244  262  253  216  249  225  232  241  7.353272 0.499041 SUCCESS 112
110110010  226  265  232  250  246  241  236  249  4.443738 0.815035 SUCCESS 113
110110100  248  252  212  252  237  237  244  242  5.410758 0.712906 SUCCESS 114
110111000  243  259  230  253  252  213  244  223  8.379605 0.397294 SUCCESS 115
110111010  257  211  267  239  224  242  257  243 10.121936 0.256572 SUCCESS 116
110111100  273  244  238  231  241  268  256  255  7.976062 0.435812 SUCCESS 117
111000000  210  264  267  253  240  217  237  218 15.453786 0.050900 SUCCESS 118
111000010  228  269  239  262  250  259  247  244  6.306814 0.612906 SUCCESS 119
111000100  239  249  234  262  244  238  262  236  3.792350 0.875356 SUCCESS 120
111000110  235  253  246  221  256  235  202  240 11.507327 0.174576 SUCCESS 121
111001000  259  236  218  252  283  239  247  226 12.312295 0.137805 SUCCESS 122
111001010  268  261  267  219  222  253  247  246 10.970329 0.203386 SUCCESS 123
111001100  261  218  246  253  249  220  246  263  8.537421 0.382806 SUCCESS 124
111010000  255  236  247  259  257  242  250  266  4.648157 0.794434 SUCCESS 125
111010010  252  252  223  237  238  247  224  247  4.576134 0.801769 SUCCESS 126
111010100  235  232  253  269  252  226  250  245  5.734863 0.676903 SUCCESS 127
111010110  260  226  215  272  239  243  236  269 12.363135 0.135722 SUCCESS 128
111011000  237  267  231  225  252  255  246  259  6.427559 0.599454 SUCCESS 129
111011010  238  239  230  245  254  239  228  239  2.856046 0.943064 SUCCESS 130
