workload,concurrency,latency_p50_ms_median,latency_p50_ms_ci95_lo,latency_p50_ms_ci95_hi,latency_p95_ms_median,latency_p95_ms_ci95_lo,latency_p95_ms_ci95_hi,latency_p99_ms_median,latency_p99_ms_ci95_lo,latency_p99_ms_ci95_hi,throughput_req_s_median,throughput_req_s_ci95_lo,throughput_req_s_ci95_hi,throughput_effective_bits_s_median,throughput_effective_bits_s_ci95_lo,throughput_effective_bits_s_ci95_hi,exhaustion_keys_s_median,exhaustion_keys_s_ci95_lo,exhaustion_keys_s_ci95_hi,fairness_jain_median,fairness_jain_ci95_lo,fairness_jain_ci95_hi,http_4xx_pct_median,http_4xx_pct_ci95_lo,http_4xx_pct_ci95_hi,http_5xx_pct_median,http_5xx_pct_ci95_lo,http_5xx_pct_ci95_hi,timeout_pct_median,timeout_pct_ci95_lo,timeout_pct_ci95_hi,backlog_peak_median,backlog_peak_ci95_lo,backlog_peak_ci95_hi,backlog_mean_median,backlog_mean_ci95_lo,backlog_mean_ci95_hi,waste_ratio_median,waste_ratio_ci95_lo,waste_ratio_ci95_hi,duplicates_median,duplicates_ci95_lo,duplicates_ci95_hi,latency_p95_aggregated_ms,latency_p99_aggregated_ms,duplicates_total
A,1,54.766360000030545,54.540801000030115,55.15120725010547,59.83687422504431,59.318336999922394,64.46772997490484,63.4739623250107,62.29508692012585,81.18895490008637,18.20160362930198,17.877699508401435,18.264644984163272,37276.88423281046,36613.52859320614,37405.99292756638,18.20160362930198,17.877699508401435,18.264644984163272,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9933333333333333,0.9933333333333333,0.9933333333333333,0.0,0.0,0.0,0.0,0.0,0.0,64.68932530001439,94.29582177023802,0
A,2,54.290339499971196,53.29056299979129,55.40397100003247,65.09764654995251,64.00267539993365,65.85384909982395,71.28053921004725,69.43081800005527,72.30554786000542,36.5394534165835,35.703935806915425,37.13920256734107,74832.800597163,73121.66053256279,76061.08685791452,36.5394534165835,35.703935806915425,37.13920256734107,0.9999986526575061,0.9999963751698097,0.9999997913067578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.9866666666666666,1.9866666666666666,1.9866666666666666,0.0,0.0,0.0,0.0,0.0,0.0,65.41909349994057,73.09538999993492,0
A,4,55.1342854998893,54.90488949999417,55.23646749998079,68.2158061000564,68.06643199995506,68.55917720022258,78.44308053983684,78.16935696986545,78.80583674503669,71.30017045803523,71.21075225640354,71.54377815322528,146022.74909805614,145839.62062111445,146521.65765780536,71.30017045803523,71.21075225640354,71.54377815322528,0.9999904531783399,0.9999862306656377,0.9999941779112791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,3.973333333333333,3.973333333333333,3.973333333333333,0.0,0.0,0.0,0.0,0.0,0.0,68.29819820036391,78.59523719992923,0
A,8,76.45923625022988,68.6395759998959,77.40314850025243,102.43477459987389,100.72605307494769,102.65155676980497,115.73320186461386,114.80738746003227,117.42425326009199,102.27837232245045,101.63138816146196,110.14890809655755,209466.10651637852,208141.0829546741,225584.96378174986,102.27837232245045,101.63138816146196,110.14890809655755,0.9999438382896324,0.9999064975494164,0.9999599068652301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,7.946666666666666,7.935127353266887,7.946666666666666,0.0,0.0,0.0,0.0,0.0,0.0,101.55435939996096,115.55443575991374,0
A,16,111.27188325031057,110.88965499948245,111.51248999999552,139.2499741499023,138.47370869962103,140.29741409981398,155.12216772513045,154.2634240100415,156.80861244033628,141.07488700788008,140.7317110925088,141.62869730744083,288921.3685921384,288218.544317458,290055.5720856388,141.07488700788008,140.7317110925088,141.62869730744083,0.9999668641779855,0.999952568748993,0.9999743440315172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,15.88628762541806,15.869565217391305,15.892976588628763,0.0,0.0,0.0,0.0,0.0,0.0,140.06075454972233,160.43154758030138,0
A,32,169.8238204999143,165.00460099996417,175.712008499886,765.8331099498578,709.1949988999884,847.3361559001204,1449.8336239350404,1321.0804328747463,1603.9583708497275,129.13057936969074,119.3001411745608,132.9133120350859,264442.424306046,244258.71675406487,272172.44778866903,129.12227749318652,119.26695154007074,132.89670302181105,0.9829834922786824,0.9713998978414644,0.9883799892955916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,32.0,31.69738306676023,31.6804677246152,31.731226721134206,0.0,0.0,0.0,0.0,0.0,0.0,768.9231534496222,1482.7012398999996,0
A,64,560.3657009999097,541.231942000195,577.743956499944,2538.2075839748945,2439.0693579998697,2577.2280275002227,3812.4437086897897,3691.6076224350477,3890.9523986003323,74.95897964814199,73.03201295824789,76.57628631080482,153515.9903193948,149535.9310446665,156794.55824903553,74.95897964814199,73.01559133040357,76.55984289503688,0.9886486368960321,0.9871585882471245,0.9891708614681894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,64.0,63.033067386583014,62.95719844357976,63.090196078431376,0.0,0.0,0.0,0.0,0.0,0.0,2525.7291289000946,3801.0758819399866,0
