id,p_value,proportion,min_pass_rate
1,0.628443,0.983739837398374,0.9630855012325616
2,0.317818,1.0,0.9630855012325616
3,0.068642,0.991869918699187,0.9630855012325616
4,0.855534,1.0,0.9630855012325616
5,0.811993,1.0,0.9630855012325616
6,0.068642,0.991869918699187,0.9630855012325616
7,0.927083,0.991869918699187,0.9630855012325616
8,0.002389,0.9512195121951219,0.9630855012325616
9,0.525771,0.991869918699187,0.9630855012325616
10,0.79658,0.983739837398374,0.9630855012325616
11,0.66313,0.991869918699187,0.9630855012325616
12,0.122325,0.9714285714285714,0.9630855012325616
13,0.051001,0.9857142857142858,0.9630855012325616
14,0.357274,1.0,0.9630855012325616
15,0.66313,0.991869918699187,0.9630855012325616
