id,p_value,proportion,min_pass_rate
1,0.419021,0.96,0.9477862581615891
2,0.657933,0.96,0.9477862581615891
3,0.002374,0.94,0.9477862581615891
4,0.030806,0.96,0.9477862581615891
5,0.971699,0.98,0.9477862581615891
6,0.075719,0.96,0.9477862581615891
7,0.911413,1.0,0.9477862581615891
8,0.0,0.86,0.9477862581615891
9,0.003201,1.0,0.9477862581615891
10,0.0,0.78,0.9477862581615891
11,0.0,0.84,0.9477862581615891
12,4e-05,0.9615384615384616,0.9477862581615891
13,0.008879,0.9230769230769231,0.9477862581615891
14,0.319084,0.94,0.9477862581615891
15,0.699313,1.0,0.9477862581615891
